"TransactionID","CustomerID","Category","Item","UnitPrice","Quantity","TotalSpent","PaymentMethod","Location","TransactionDate","DiscountApplied","Profit","Country","State","Region"
"TXN_6398436","CUST_15","Beverages","Item_25_BEV",41,7,287,"Credit Card","In-store","2024-06-03","TRUE",764,"United States","Texas","Central"
"TXN_4223250","CUST_16","Beverages","Item_22_BEV",36.5,7,255.5,"Cash","Online","2023-05-31","TRUE",12726,"United States","Texas","Central"
"TXN_5973228","CUST_12","Beverages","Item_7_BEV",14,6,84,"Digital Wallet","Online","2023-12-25","TRUE",8580,"United States","Tennessee","South"
"TXN_1142481","CUST_02","Beverages","Item_22_BEV",36.5,6,219,"Cash","In-store","2023-02-07","TRUE",7389,"United States","Texas","Central"
"TXN_3035546","CUST_19","Beverages","Item_14_BEV",24.5,2,49,"Credit Card","In-store","2023-07-12","TRUE",-2158,"United States","California","West"
"TXN_3403695","CUST_25","Beverages","Item_23_BEV",38,8,304,"Cash","Online","2024-09-27","TRUE",11633,"United States","Delaware","East"
"TXN_9940030","CUST_25","Beverages","Item_19_BEV",32,6,192,"Credit Card","In-store","2022-01-19","TRUE",7123,"United States","Texas","Central"
"TXN_6195024","CUST_13","Beverages","Item_20_BEV",33.5,5,167.5,"Cash","Online","2024-08-09","FALSE",6395,"United States","Illinois","Central"
"TXN_8049831","CUST_18","Beverages","Item_6_BEV",12.5,2,25,"Cash","In-store","2023-01-05","FALSE",8246,"United States","Ohio","East"
"TXN_4276451","CUST_17","Beverages","Item_22_BEV",36.5,1,36.5,"Credit Card","Online","2024-05-27","FALSE",3464,"United States","Arizona","West"
"TXN_3380295","CUST_08","Beverages","Item_6_BEV",12.5,5,62.5,"Cash","Online","2023-02-08","FALSE",9377,"United States","Arizona","West"
"TXN_8616546","CUST_09","Beverages","Item_21_BEV",35,8,280,"Credit Card","Online","2023-04-01","TRUE",1977,"United States","California","West"
"TXN_5256349","CUST_25","Beverages","Item_2_BEV",6.5,4,26,"Digital Wallet","Online","2022-09-27","FALSE",4134,"United States","Oklahoma","Central"
"TXN_3229559","CUST_02","Beverages","Item_7_BEV",14,9,126,"Digital Wallet","Online","2022-12-02","TRUE",15574,"United States","Texas","Central"
"TXN_8283332","CUST_16","Beverages","Item_23_BEV",38,6,228,"Cash","Online","2023-11-13","FALSE",-4259,"United States","California","West"
"TXN_8842339","CUST_22","Beverages","Item_12_BEV",21.5,8,172,"Digital Wallet","In-store","2023-05-14","FALSE",-4130,"United States","Tennessee","South"
"TXN_4731761","CUST_17","Beverages","Item_6_BEV",12.5,3,37.5,"Credit Card","In-store","2024-08-19","FALSE",-3723,"United States","Minnesota","Central"
"TXN_8186195","CUST_20","Beverages","Item_8_BEV",15.5,5,77.5,"Digital Wallet","Online","2023-02-19","TRUE",6860,"United States","New York","East"
"TXN_1729525","CUST_08","Beverages","Item_23_BEV",38,7,266,"Digital Wallet","In-store","2022-11-10","FALSE",-4611,"United States","Florida","South"
"TXN_5960646","CUST_21","Beverages","Item_3_BEV",8,8,64,"Digital Wallet","Online","2024-03-18","TRUE",10371,"United States","Colorado","West"
"TXN_3759367","CUST_18","Beverages","Item_19_BEV",32,1,32,"Digital Wallet","In-store","2023-05-07","TRUE",549,"United States","New Jersey","East"
"TXN_8793391","CUST_16","Beverages","Item_2_BEV",6.5,8,52,"Credit Card","Online","2024-04-14","TRUE",10503,"United States","Pennsylvania","East"
"TXN_2910621","CUST_02","Beverages","Item_10_BEV",18.5,10,185,"Digital Wallet","In-store","2023-03-05","FALSE",6171,"United States","California","West"
"TXN_7864933","CUST_24","Beverages","Item_17_BEV",29,1,29,"Cash","In-store","2022-11-29","TRUE",3665,"United States","Arizona","West"
"TXN_9440172","CUST_20","Beverages","Item_25_BEV",41,9,369,"Credit Card","In-store","2023-10-25","FALSE",1732,"United States","Texas","Central"
"TXN_1213835","CUST_02","Beverages","Item_22_BEV",36.5,4,146,"Digital Wallet","In-store","2022-07-06","FALSE",10843,"United States","Michigan","Central"
"TXN_4283900","CUST_04","Beverages","Item_24_BEV",39.5,6,237,"Credit Card","Online","2022-06-23","FALSE",-3275,"United States","Illinois","Central"
"TXN_8660082","CUST_08","Beverages","Item_20_BEV",33.5,1,33.5,"Credit Card","In-store","2024-05-18","TRUE",10031,"United States","New York","East"
"TXN_7810642","CUST_12","Beverages","Item_6_BEV",12.5,8,100,"Credit Card","Online","2024-03-04","FALSE",-72,"United States","Arkansas","South"
"TXN_4793201","CUST_12","Beverages","Item_16_BEV",27.5,2,55,"Credit Card","In-store","2023-09-01","TRUE",-2320,"United States","Colorado","West"
"TXN_5645530","CUST_14","Beverages","Item_14_BEV",24.5,10,245,"Digital Wallet","Online","2024-06-06","FALSE",15861,"United States","New York","East"
"TXN_5861199","CUST_19","Beverages","Item_18_BEV",30.5,10,305,"Cash","Online","2022-12-30","FALSE",14300,"United States","Montana","West"
"TXN_6215665","CUST_22","Beverages","Item_23_BEV",38,1,38,"Digital Wallet","Online","2023-06-13","FALSE",7031,"United States","Montana","West"
"TXN_2010040","CUST_10","Beverages","Item_19_BEV",32,8,256,"Cash","Online","2024-02-01","FALSE",3588,"United States","California","West"
"TXN_5720404","CUST_22","Beverages","Item_22_BEV",36.5,7,255.5,"Cash","In-store","2022-03-22","TRUE",6854,"United States","Florida","South"
"TXN_7903686","CUST_10","Beverages","Item_17_BEV",29,1,29,"Digital Wallet","Online","2022-03-13","TRUE",15293,"United States","New York","East"
"TXN_6017693","CUST_14","Beverages","Item_11_BEV",20,1,20,"Digital Wallet","Online","2022-02-24","TRUE",1524,"United States","Texas","Central"
"TXN_8231762","CUST_11","Beverages","Item_20_BEV",33.5,6,201,"Credit Card","Online","2022-01-17","FALSE",-3455,"United States","Pennsylvania","East"
"TXN_4191425","CUST_25","Beverages","Item_18_BEV",30.5,1,30.5,"Digital Wallet","In-store","2024-10-08","FALSE",8318,"United States","Pennsylvania","East"
"TXN_5430495","CUST_11","Beverages","Item_20_BEV",33.5,5,167.5,"Digital Wallet","Online","2024-01-11","FALSE",7579,"United States","New York","East"
"TXN_9730853","CUST_19","Beverages","Item_11_BEV",20,3,60,"Credit Card","Online","2022-11-16","TRUE",1599,"United States","New York","East"
"TXN_4924226","CUST_05","Beverages","Item_8_BEV",15.5,4,62,"Cash","In-store","2023-03-06","FALSE",13099,"United States","New York","East"
"TXN_8629942","CUST_20","Beverages","Item_24_BEV",39.5,4,158,"Cash","In-store","2024-12-08","TRUE",2065,"United States","Indiana","Central"
"TXN_6357302","CUST_20","Beverages","Item_15_BEV",26,1,26,"Credit Card","In-store","2022-09-09","FALSE",319,"United States","Arizona","West"
"TXN_3812949","CUST_17","Beverages","Item_17_BEV",29,1,29,"Cash","In-store","2023-07-07","TRUE",6984,"United States","Washington","West"
"TXN_1176248","CUST_16","Beverages","Item_4_BEV",9.5,6,57,"Credit Card","In-store","2022-12-06","TRUE",-228,"United States","Texas","Central"
"TXN_6490027","CUST_19","Beverages","Item_21_BEV",35,9,315,"Credit Card","Online","2024-08-20","FALSE",4112,"United States","New York","East"
"TXN_4452566","CUST_15","Beverages","Item_4_BEV",9.5,8,76,"Digital Wallet","In-store","2022-01-07","FALSE",8226,"United States","Texas","Central"
"TXN_1196570","CUST_22","Beverages","Item_6_BEV",12.5,8,100,"Digital Wallet","Online","2024-02-09","TRUE",8468,"United States","Virginia","South"
"TXN_1232531","CUST_12","Beverages","Item_2_BEV",6.5,3,19.5,"Cash","Online","2024-05-27","TRUE",-276,"United States","California","West"
"TXN_3910370","CUST_22","Beverages","Item_14_BEV",24.5,2,49,"Digital Wallet","In-store","2022-12-23","TRUE",4959,"United States","New York","East"
"TXN_2217907","CUST_07","Beverages","Item_14_BEV",24.5,2,49,"Credit Card","In-store","2022-05-15","TRUE",13161,"United States","Michigan","Central"
"TXN_5986313","CUST_05","Beverages","Item_24_BEV",39.5,6,237,"Credit Card","In-store","2023-01-03","TRUE",-7158,"United States","Michigan","Central"
"TXN_6829985","CUST_05","Beverages","Item_3_BEV",8,2,16,"Cash","Online","2023-11-22","FALSE",-3534,"United States","California","West"
"TXN_5805061","CUST_06","Beverages","Item_8_BEV",15.5,3,46.5,"Credit Card","Online","2023-07-31","TRUE",-2812,"United States","Iowa","Central"
"TXN_1476715","CUST_11","Beverages","Item_17_BEV",29,8,232,"Credit Card","In-store","2022-02-08","FALSE",-591,"United States","Ohio","East"
"TXN_8519777","CUST_16","Beverages","Item_24_BEV",39.5,3,118.5,"Digital Wallet","Online","2022-07-02","TRUE",7921,"United States","Virginia","South"
"TXN_7797790","CUST_24","Beverages","Item_19_BEV",32,7,224,"Digital Wallet","Online","2022-10-09","TRUE",5605,"United States","Virginia","South"
"TXN_4438498","CUST_07","Beverages","Item_14_BEV",24.5,5,122.5,"Credit Card","Online","2022-06-02","TRUE",15385,"United States","Kentucky","South"
"TXN_4274209","CUST_01","Beverages","Item_10_BEV",18.5,9,166.5,"Cash","Online","2024-11-19","FALSE",-6277,"United States","New York","East"
"TXN_6625191","CUST_22","Beverages","Item_14_BEV",24.5,8,196,"Digital Wallet","Online","2022-05-23","FALSE",3110,"United States","California","West"
"TXN_4344002","CUST_07","Beverages","Item_11_BEV",20,3,60,"Credit Card","Online","2023-09-28","FALSE",8983,"United States","New York","East"
"TXN_5283643","CUST_02","Beverages","Item_24_BEV",39.5,8,316,"Cash","Online","2023-07-09","TRUE",4276,"United States","Connecticut","East"
"TXN_6461094","CUST_19","Beverages","Item_2_BEV",6.5,3,19.5,"Cash","In-store","2024-04-04","TRUE",14045,"United States","Texas","Central"
"TXN_9925623","CUST_25","Beverages","Item_25_BEV",41,4,164,"Credit Card","Online","2022-08-20","FALSE",15390,"United States","Pennsylvania","East"
"TXN_9250241","CUST_05","Beverages","Item_10_BEV",18.5,1,18.5,"Cash","Online","2024-11-17","TRUE",15142,"United States","Arizona","West"
"TXN_2508784","CUST_02","Beverages","Item_8_BEV",15.5,7,108.5,"Credit Card","Online","2024-08-29","TRUE",-6577,"United States","California","West"
"TXN_7021336","CUST_25","Beverages","Item_3_BEV",8,10,80,"Digital Wallet","Online","2022-07-03","TRUE",2400,"United States","New York","East"
"TXN_5747894","CUST_14","Beverages","Item_7_BEV",14,6,84,"Credit Card","Online","2024-09-25","FALSE",11641,"United States","Virginia","South"
"TXN_3032195","CUST_07","Beverages","Item_2_BEV",6.5,6,39,"Digital Wallet","Online","2022-02-14","FALSE",4386,"United States","New York","East"
"TXN_6255024","CUST_14","Beverages","Item_19_BEV",32,3,96,"Digital Wallet","Online","2023-07-18","TRUE",-2925,"United States","Washington","West"
"TXN_2985819","CUST_13","Beverages","Item_17_BEV",29,9,261,"Digital Wallet","Online","2023-09-07","FALSE",8219,"United States","Missouri","Central"
"TXN_9803487","CUST_13","Beverages","Item_4_BEV",9.5,5,47.5,"Credit Card","Online","2023-03-29","FALSE",3498,"United States","New York","East"
"TXN_9012270","CUST_18","Beverages","Item_17_BEV",29,4,116,"Digital Wallet","Online","2022-10-17","FALSE",-4907,"United States","Illinois","Central"
"TXN_8625922","CUST_08","Beverages","Item_6_BEV",12.5,10,125,"Credit Card","Online","2023-12-22","FALSE",-4269,"United States","Florida","South"
"TXN_2539807","CUST_18","Beverages","Item_14_BEV",24.5,5,122.5,"Cash","Online","2022-05-15","TRUE",221,"United States","California","West"
"TXN_1273334","CUST_22","Beverages","Item_25_BEV",41,10,410,"Digital Wallet","In-store","2022-11-04","TRUE",10693,"United States","California","West"
"TXN_6606292","CUST_19","Beverages","Item_22_BEV",36.5,5,182.5,"Cash","In-store","2023-12-21","FALSE",3028,"United States","Texas","Central"
