Transaction ID,Customer ID,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,Profit,Country,State,Region
TXN_9458126,CUST_06,Beverages,Item_16_BEV,27.5,9,247.5,Credit Card,Online,5/7/2022,,13631,United States,Florida,South
TXN_1809665,CUST_14,Beverages,,24.5,,,Credit Card,In-store,5/11/2022,,15545,United States,Texas,Central
TXN_9939063,CUST_14,Beverages,Item_7_BEV,14,9,126,Digital Wallet,In-store,1/14/2024,,53,United States,California,West
TXN_6398436,CUST_15,Beverages,Item_25_BEV,41,7,287,Credit Card,In-store,6/3/2024,TRUE,764,United States,Texas,Central
TXN_8312797,CUST_14,Beverages,Item_11_BEV,20,5,100,Digital Wallet,Online,6/3/2022,,11655,United States,Texas,Central
TXN_4223250,CUST_16,Beverages,Item_22_BEV,36.5,7,255.5,Cash,Online,5/31/2023,TRUE,12726,United States,Texas,Central
TXN_6276518,CUST_24,Beverages,Item_8_BEV,15.5,3,46.5,Cash,In-store,4/8/2024,,11289,United States,Florida,South
TXN_7363165,CUST_25,Beverages,Item_4_BEV,9.5,7,66.5,Digital Wallet,In-store,3/25/2023,,-4905,United States,Michigan,Central
TXN_5973228,CUST_12,Beverages,Item_7_BEV,14,6,84,Digital Wallet,Online,12/25/2023,TRUE,8580,United States,Tennessee,South
TXN_1142481,CUST_02,Beverages,Item_22_BEV,36.5,6,219,Cash,In-store,2/7/2023,TRUE,7389,United States,Texas,Central
TXN_3035546,CUST_19,Beverages,Item_14_BEV,24.5,2,49,Credit Card,In-store,7/12/2023,TRUE,-2158,United States,California,West
TXN_8210621,CUST_03,Beverages,,39.5,,,Digital Wallet,Online,1/3/2024,FALSE,-1517,United States,Ohio,East
TXN_3403695,CUST_25,Beverages,Item_23_BEV,38,8,304,Cash,Online,9/27/2024,TRUE,11633,United States,Delaware,East
TXN_9940030,CUST_25,Beverages,Item_19_BEV,32,6,192,Credit Card,In-store,1/19/2022,TRUE,7123,United States,Texas,Central
TXN_6195024,CUST_13,Beverages,Item_20_BEV,33.5,5,167.5,Cash,Online,8/9/2024,FALSE,6395,United States,Illinois,Central
TXN_8049831,CUST_18,Beverages,Item_6_BEV,12.5,2,25,Cash,In-store,1/5/2023,FALSE,8246,United States,Ohio,East
TXN_6149882,CUST_09,Beverages,Item_20_BEV,33.5,1,33.5,Credit Card,Online,1/22/2023,,11093,United States,California,West
TXN_4276451,CUST_17,Beverages,Item_22_BEV,36.5,1,36.5,Credit Card,Online,5/27/2024,FALSE,3464,United States,Arizona,West
TXN_3380295,CUST_08,Beverages,Item_6_BEV,12.5,5,62.5,Cash,Online,2/8/2023,FALSE,9377,United States,Arizona,West
TXN_8616546,CUST_09,Beverages,Item_21_BEV,35,8,280,Credit Card,Online,4/1/2023,TRUE,1977,United States,California,West
